timestamp,session_id,request_id,evento,severidade,confianca,recomendacao
2026-08-17T10:15:29,f831d187-feb2-43b0-96ce-3caf9261e4d1,0af05077-6707-4c35-adda-243fcc137593,latency_anomaly,alta,1.0,Latência de 2317ms em 'order_lookup' excede o limite estatístico de 1137ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-17T13:08:06,f3bd3507-71f9-4318-a630-fa94abc70121,31157d1d-6242-4323-8d81-9dc7d3b4e215,latency_anomaly,alta,1.0,Latência de 3667ms em 'kb_search' excede o limite estatístico de 1434ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-17T15:42:13,abb276f7-50a2-484f-939b-7e71c5915ba2,a3647e23-e84d-40f3-a79a-486e55b1f7be,latency_anomaly,alta,0.88,Latência de 2429ms em 'refund_initiate' excede o limite estatístico de 1354ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-18T00:53:13,08201e2c-e280-4670-8151-c994c4d55677,241dc16a-6714-4c4f-885e-c011445fadad,latency_anomaly,media,0.63,Latência de 1985ms em 'kb_search' excede o limite estatístico de 1434ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-18T02:18:55,81951d46-ff3f-48f2-9c6f-48fec59bc6f4,7651e4c6-80d7-46b0-a52a-383c94cb1e7d,latency_anomaly,alta,1.0,Latência de 3195ms em 'kb_search' excede o limite estatístico de 1434ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-18T02:58:09,71ab07d0-0460-44db-8164-76b19c1300f9,77d113b1-90bf-4b29-a8e4-9e9f859b842d,latency_anomaly,alta,1.0,Latência de 3726ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-18T03:05:18,31e75997-7674-46b5-8659-2a11228eaa9e,89ca7500-2972-4e1f-85b0-4124467faa0c,latency_anomaly,alta,1.0,Latência de 3186ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-18T07:14:49,81ef9cd9-1232-4d2d-933e-a16470b3b2f0,477829de-1b0e-4a67-8d26-b0cd40b6e0e6,latency_anomaly,alta,0.94,Latência de 2563ms em 'refund_initiate' excede o limite estatístico de 1354ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-18T14:32:55,a7f231d3-6f2c-4c9f-9fe0-f41b7c12651f,9f8ff9fb-7110-43d6-8105-c0af1bda8703,latency_anomaly,media,0.62,Latência de 1716ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-18T15:00:19,27aadc8a-76a4-4b26-9f64-c7468e1677e8,2624bcec-47be-4d5e-9786-dad1d39a4db4,latency_anomaly,media,0.57,Latência de 1735ms em 'refund_initiate' excede o limite estatístico de 1354ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T01:34:26,1531a2e3-b723-4abb-bba9-2db5c5d7f997,267000a1-b17d-4685-911a-8c8b9ea8ea38,latency_anomaly,alta,0.86,Latência de 2206ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T04:35:00,7b4f4174-10c5-4424-a254-a5ca3c3b71ec,f3f9b230-5992-49d2-895b-5fcd0cf6ea8d,latency_anomaly,alta,1.0,Latência de 2534ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T08:17:20,fd4bf6af-fde5-4a1d-a069-7bc8ab63d734,a81d49ea-cee8-4e3a-af1c-2b9c95b14c87,latency_anomaly,alta,0.87,Latência de 2240ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T11:30:34,7a3f7e45-9a7c-4a48-9bac-112d22219bc9,ddb7bd28-6370-46f3-8015-7b9c9a6fab45,latency_anomaly,alta,1.0,Latência de 3724ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T11:55:01,c3d1387f-00f3-42ff-983d-b041ea859af3,7db71c67-747e-4430-a223-22b2874eb7bd,latency_anomaly,alta,0.85,Latência de 2376ms em 'refund_initiate' excede o limite estatístico de 1354ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T12:06:31,84065cda-b89a-4215-9052-2e71910efb45,9660827b-7228-43f5-aea9-69c5a477c54b,latency_anomaly,media,0.49,Latência de 1557ms em 'refund_initiate' excede o limite estatístico de 1354ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T17:54:03,b7cf6978-233b-486a-b891-b26df68401c0,1ca57d03-0188-4124-81e2-3de794e17324,latency_anomaly,alta,0.84,Latência de 2348ms em 'refund_initiate' excede o limite estatístico de 1354ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T20:55:13,798694bc-03ad-4037-b627-27774eb5f1c3,2afc99d2-c6ed-47ae-8073-3e5e7a70d4d2,latency_anomaly,alta,1.0,Latência de 2811ms em 'order_lookup' excede o limite estatístico de 1137ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-19T22:58:19,613fc5ea-6d94-46a7-bc22-3b23921f580d,d260dc3a-f514-4437-89f4-f0a596a1054a,latency_anomaly,media,0.64,Latência de 2015ms em 'kb_search' excede o limite estatístico de 1434ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-20T00:37:04,5a8ab438-e260-480b-a1fd-14e9398f57eb,1a03b30c-eaef-4e5a-8e14-e3fd7f1c89e1,latency_anomaly,alta,1.0,Latência de 2568ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-20T07:46:53,cf271824-ef01-40f1-9404-bb78c08be960,1ec16838-8b19-4d3c-9683-610a49532673,latency_anomaly,alta,1.0,Latência de 3072ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-20T09:23:35,914ae424-bbb9-4ced-917e-6596cbc4f3d7,867e0595-9eb9-4e18-ba0b-338a1f23ee81,latency_anomaly,alta,1.0,Latência de 3227ms em 'refund_initiate' excede o limite estatístico de 1354ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-20T14:20:49,98177682-7564-416b-8ebb-ad48780e2105,bc1a5bb5-a359-4b5d-adc4-050cc27648b1,latency_anomaly,alta,0.96,Latência de 2432ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-20T16:07:35,eb3c3ea4-ce10-4db3-a1f3-d8f5abfd54bc,de108f24-5200-4a9c-a980-76f9aaec9de9,latency_anomaly,media,0.41,Latência de 1284ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-20T22:32:07,ba6d49bd-bcce-48ce-9d34-ea4bfb52e1a3,2eb0c5a0-d532-4c81-96f8-01b115e96f4c,latency_anomaly,alta,1.0,Latência de 3887ms em 'refund_initiate' excede o limite estatístico de 1354ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-21T00:13:19,9f399776-f1dc-410c-8eca-cff762d0fb26,6d243a2e-96af-4e86-8828-7ba9301c5748,latency_anomaly,alta,1.0,Latência de 4117ms em 'chat_completion' excede o limite estatístico de 1254ms (Q3 + 2.5x IQR) sem tokens de entrada elevados. Investigar payload da ferramenta chamada (possível injeção via output de terceiro) ou degradação de backend.
2026-08-21T05:44:17,cef43f8e-62f6-4534-b2fb-3b0dd5886125,80f54905-2bc7-4d1f-859d-1347ea11fa6c,retry_storm,media,0.6,"Sessão cef43f8e acumulou 5 refusals encadeados em 133s. Padrão consistente com tentativa iterativa de contornar bloqueio. Recomenda-se rate limit ou bloqueio temporário da sessão, não apenas log do último evento."
2026-08-21T06:04:12,5c570899-4669-46a0-acce-2e204e796c21,e8c5dff4-bda5-41e3-b6a2-ccd624241f31,retry_storm,media,0.6,"Sessão 5c570899 acumulou 5 refusals encadeados em 97s. Padrão consistente com tentativa iterativa de contornar bloqueio. Recomenda-se rate limit ou bloqueio temporário da sessão, não apenas log do último evento."
